"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7926","should expand and collapse the FAQ section for ""Do Telnyx IoT SIMs support voice?"" correctly","","Wed Apr 23 18:01:36 UTC 2025","passed","Wed Apr 23 18:01:44 UTC 2025","","IoT SIM Card Page - FAQ Section","",""
"","1292","should open and close the ""Products"" menu tab correctly","","Wed Apr 23 18:01:54 UTC 2025","passed","Wed Apr 23 18:01:56 UTC 2025","","Homepage - Navigation menu tabs behavior","",""
"","1960","should display a message when no articles match the query ""the future of WEBRTC""","","Wed Apr 23 18:02:23 UTC 2025","passed","Wed Apr 23 18:02:25 UTC 2025","","Resources Page - No Results Message","",""
"","274","should open and close the ""Resources"" menu tab correctly","","Wed Apr 23 18:01:56 UTC 2025","passed","Wed Apr 23 18:01:57 UTC 2025","","Homepage - Navigation menu tabs behavior","",""
"","1979","should display only articles related to the selected filter","","Wed Apr 23 18:02:00 UTC 2025","passed","Wed Apr 23 18:02:02 UTC 2025","","Resources Page - Filter Functionality","",""
"","4406","should navigate to the next page and then back to the previous page","","Wed Apr 23 18:02:27 UTC 2025","passed","Wed Apr 23 18:02:31 UTC 2025","","Resources Page - Pagination","",""
"","4178","should switch to Japanese and display correct localized content","","Wed Apr 23 18:01:27 UTC 2025","passed","Wed Apr 23 18:01:32 UTC 2025","","IoT SIM Card Page - Language localization functionality","",""
"","1500","should validate and navigate to the LinkedIn page successfully","","Wed Apr 23 18:02:36 UTC 2025","passed","Wed Apr 23 18:02:37 UTC 2025","","Home Page — Social Media Links","",""
"","4364","should toggle the filter and display relevant articles accordingly","","Wed Apr 23 18:02:09 UTC 2025","passed","Wed Apr 23 18:02:13 UTC 2025","","Resources Page - Filter Functionality","",""
"","7788","should scroll to section with anchor link ""Step-by-step guide to AI implementation with Telnyx""","","Wed Apr 23 18:03:15 UTC 2025","passed","Wed Apr 23 18:03:22 UTC 2025","","Resources Page - Article Anchor Links","",""
"","614","should display a message when no articles match the query ""Callback""","","Wed Apr 23 18:02:44 UTC 2025","passed","Wed Apr 23 18:02:45 UTC 2025","","Solutions Page - No Results Message","",""
"","3576","should navigate to correct page when clicking ""Telnyx vs. Amazon S3""","","Wed Apr 23 18:03:49 UTC 2025","passed","Wed Apr 23 18:03:52 UTC 2025","","Home Page - Footer links validation","",""
"","5056","should switch filters and display only relevant articles","","Wed Apr 23 18:02:15 UTC 2025","passed","Wed Apr 23 18:02:20 UTC 2025","","Resources Page - Filter Switching Functionality","",""
"","4398","should navigate to correct page when clicking ""Telnyx vs. Kore Wireless""","","Wed Apr 23 18:03:35 UTC 2025","passed","Wed Apr 23 18:03:39 UTC 2025","","Home Page - Footer links validation","",""
"","567","should display article with title ""Choosing the best phone number"" after search","","Wed Apr 23 18:02:06 UTC 2025","passed","Wed Apr 23 18:02:07 UTC 2025","","Resources page - search functionality","",""
"","302","should open and close the ""Why Telnyx"" menu tab correctly","","Wed Apr 23 18:01:56 UTC 2025","passed","Wed Apr 23 18:01:56 UTC 2025","","Homepage - Navigation menu tabs behavior","",""
"","5438","should navigate to correct page when clicking ""Telnyx vs. Twilio""","","Wed Apr 23 18:03:26 UTC 2025","passed","Wed Apr 23 18:03:31 UTC 2025","","Home Page - Footer links validation","",""
